Step,TankID,Team,X,Y,Heading,TurretHeading,Velocity,HP,GunEnergy
10,0,0,240.0,677.1,300.0,210.0,1.0,10,10
10,1,0,560.0,122.9,120.0,30.0,1.0,10,10
10,2,0,560.0,677.1,240.0,150.0,1.0,10,10
10,3,1,716.1,400.0,90.0,140.0,-2.9,10,10
10,4,1,87.7,400.0,270.0,310.0,-3.8,10,10
10,5,1,234.4,113.1,330.0,40.0,2.8,10,10
11,0,0,239.2,676.6,300.0,210.0,2.0,10,11
11,1,0,560.8,123.4,120.0,30.0,2.0,10,11
11,2,0,559.2,677.6,240.0,150.0,2.0,10,11
11,3,1,713.3,400.0,90.0,150.0,-2.8,10,11
11,4,1,91.4,400.0,270.0,320.0,-3.7,10,11
11,5,1,233.0,110.8,330.0,50.0,2.7,10,11
12,0,0,237.5,675.7,300.0,210.0,2.9,10,12
12,1,0,562.5,124.3,120.0,30.0,2.9,10,12
12,2,0,557.5,678.6,240.0,150.0,2.9,10,12
12,3,1,710.5,400.0,90.0,150.0,-3.8,10,12
12,4,1,95.0,400.0,270.0,320.0,-4.7,10,12
12,5,1,231.7,108.5,330.0,50.0,3.7,10,12
13,0,0,235.0,674.2,300.0,210.0,3.9,10,13
13,1,0,565.0,125.8,120.0,30.0,3.9,10,13
13,2,0,555.0,680.0,240.0,150.0,3.9,10,13
13,3,1,706.9,400.0,90.0,160.0,-3.7,10,13
13,4,1,99.6,400.0,270.0,330.0,-4.6,10,13
13,5,1,229.9,105.4,330.0,60.0,3.6,10,13
14,0,0,231.7,672.3,300.0,210.0,4.8,10,14
14,1,0,568.3,127.7,120.0,30.0,4.8,10,14
14,2,0,551.7,681.9,240.0,150.0,4.8,10,14
14,3,1,703.2,400.0,90.0,170.0,-3.6,10,14
14,4,1,104.1,400.0,270.0,340.0,-4.5,10,14
14,5,1,228.1,102.3,330.0,70.0,3.5,10,14
15,0,0,227.6,670.0,300.0,210.0,5.7,10,15
15,1,0,572.4,130.0,120.0,30.0,5.7,10,15
15,2,0,547.6,684.3,240.0,150.0,5.7,10,15
15,3,1,699.7,400.0,90.0,180.0,-3.5,10,15
15,4,1,108.5,400.0,270.0,340.0,-5.4,10,15
15,5,1,226.4,99.3,330.0,70.0,4.4,10,15
16,0,0,222.8,667.2,300.0,210.0,6.6,10,15
16,1,0,577.2,132.8,120.0,30.0,6.6,10,15
16,2,0,542.8,687.1,240.0,150.0,6.6,10,15
16,3,1,696.2,400.0,90.0,180.0,-4.5,10,15
16,4,1,113.7,400.0,270.0,350.0,-5.3,10,15
16,5,1,224.2,95.6,330.0,80.0,4.4,10,15
17,0,0,217.2,663.9,300.0,210.0,7.5,10,15
17,1,0,582.8,136.1,120.0,30.0,7.5,10,15
17,2,0,537.2,690.3,240.0,150.0,7.5,10,15
17,3,1,691.8,400.0,90.0,190.0,-4.4,10,15
17,4,1,118.9,400.0,270.0,0.0,-5.2,10,15
17,5,1,222.1,91.9,330.0,90.0,4.3,10,15
18,0,0,210.8,660.3,300.0,210.0,7.3,10,0
18,1,0,589.2,139.7,120.0,30.0,7.3,10,0
18,2,0,530.8,694.0,240.0,150.0,7.3,10,0
18,3,1,687.5,400.0,90.0,200.0,-4.3,10,15
18,4,1,124.0,400.0,270.0,0.0,-6.1,10,15
18,5,1,220.0,88.2,330.0,90.0,5.2,10,15
19,0,0,204.6,656.7,300.0,206.0,7.2,10,1
19,1,0,595.4,143.3,120.0,26.0,7.2,10,1
19,2,0,524.6,697.6,240.0,146.0,7.2,10,1
19,3,1,683.3,400.0,90.0,210.0,-4.2,10,15
19,4,1,129.9,400.0,270.0,10.0,-5.9,10,15
19,5,1,217.5,83.8,330.0,100.0,5.1,10,15
20,0,0,198.5,653.2,304.7,206.0,7.0,10,2
20,1,0,601.5,146.8,124.7,26.0,7.0,10,2
20,2,0,518.5,701.1,244.7,146.0,7.0,10,2
20,3,1,679.2,400.0,90.0,210.0,-4.1,10,0
20,4,1,135.7,400.0,270.0,20.0,-5.8,10,15
20,5,1,215.0,79.5,330.0,100.0,5.0,10,0
21,0,0,192.9,649.3,304.7,202.0,6.9,10,3
21,1,0,607.1,150.7,124.7,22.0,6.9,10,3
21,2,0,512.3,704.0,244.7,142.0,6.9,10,3
21,3,1,675.1,400.0,90.0,208.1,-4.0,10,1
21,4,1,141.4,400.0,270.0,30.0,-5.7,10,15
21,5,1,212.5,75.3,330.0,100.0,2.9,10,1
22,0,0,187.3,645.4,304.7,202.0,7.7,10,4
22,1,0,612.7,154.6,124.7,22.0,7.7,10,4
22,2,0,506.2,706.9,244.7,142.0,7.7,10,4
22,3,1,671.2,400.0,90.0,208.2,-4.0,10,2
22,4,1,147.0,400.0,270.0,40.0,-5.6,10,15
22,5,1,211.1,72.9,330.0,100.0,0.8,10,2
23,0,0,181.1,641.1,309.0,202.0,7.6,10,5
23,1,0,618.9,158.9,129.0,22.0,7.6,10,5
23,2,0,499.4,710.1,249.0,142.0,7.6,10,5
23,3,1,667.3,400.0,90.0,208.3,-3.9,10,3
23,4,1,152.5,400.0,270.0,50.0,-5.5,10,15
23,5,1,210.7,72.2,330.0,100.0,0.0,10,3
24,0,0,175.3,636.4,309.0,198.0,7.4,10,6
24,1,0,624.7,163.6,129.0,18.0,7.4,10,6
24,2,0,492.4,712.8,249.0,138.0,7.4,10,6
24,3,1,663.5,400.0,90.0,208.3,-4.8,10,4
24,4,1,157.9,400.0,270.0,60.0,-5.4,10,15
24,5,1,210.7,72.2,330.0,100.0,-1.0,10,4
25,0,0,169.7,631.8,313.6,198.0,7.3,10,7
25,1,0,630.3,168.2,133.6,18.0,7.3,10,7
25,2,0,485.6,715.4,253.6,138.0,7.3,10,7
25,3,1,658.8,400.0,90.0,208.7,-4.7,10,5
25,4,1,163.1,400.0,270.0,70.0,-5.3,10,15
25,5,1,211.2,73.0,330.0,100.0,-2.0,10,5
26,0,0,164.5,626.9,313.6,194.0,7.1,10,8
26,1,0,635.5,173.1,133.6,14.0,7.1,10,8
26,2,0,478.7,717.4,253.6,134.0,7.1,10,8
26,3,1,654.2,400.0,90.0,208.8,-4.6,10,6
26,4,1,168.3,400.0,270.0,80.0,-5.2,10,15
26,5,1,212.2,74.7,330.0,100.0,-2.9,10,6
27,0,0,159.4,622.1,318.3,194.0,7.0,10,9
27,1,0,640.6,177.9,138.3,14.0,7.0,10,9
27,2,0,472.0,719.4,258.3,134.0,7.0,10,9
27,3,1,649.6,400.0,90.0,208.9,-4.5,10,7
27,4,1,173.4,400.0,270.0,90.0,-5.1,10,15
27,5,1,213.6,77.2,330.0,100.0,-3.9,10,7
28,0,0,154.9,617.0,318.3,190.0,6.9,10,10
28,1,0,645.1,183.0,138.3,10.0,6.9,10,10
28,2,0,465.3,720.8,258.3,130.0,6.9,10,10
28,3,1,645.2,400.0,90.0,208.9,-5.4,10,8
28,4,1,178.3,400.0,270.0,100.0,-5.0,10,15
28,5,1,215.5,80.5,330.0,100.0,-4.8,10,8
29,0,0,150.4,611.9,318.3,190.0,7.7,10,11
29,1,0,649.6,188.1,138.3,10.0,7.7,10,11
29,2,0,458.7,722.1,258.3,130.0,7.7,10,11
29,3,1,639.9,400.0,90.0,209.3,-5.3,10,9
29,4,1,183.2,400.0,270.0,110.0,-4.9,10,15
29,5,1,217.9,84.6,330.0,110.0,-4.7,10,9
30,0,0,145.4,606.3,322.6,190.0,7.6,10,12
30,1,0,654.6,193.7,142.6,10.0,7.6,10,12
30,2,0,451.3,723.7,262.6,130.0,7.6,10,12
30,3,1,634.7,400.0,90.0,209.4,-5.2,10,10
30,4,1,187.9,400.0,270.0,120.0,-4.8,10,15
30,5,1,220.2,88.6,330.0,110.0,-5.6,10,10
31,0,0,140.9,600.4,322.6,186.0,7.4,10,13
31,1,0,659.1,199.6,142.6,6.0,7.4,10,13
31,2,0,444.0,724.6,262.6,126.0,7.4,10,13
31,3,1,629.5,400.0,90.0,209.5,-5.1,10,11
31,4,1,192.6,400.0,270.0,130.0,-4.7,10,15
31,5,1,222.9,93.3,330.0,120.0,-5.5,10,11
32,0,0,136.4,594.6,327.2,186.0,7.3,10,14
32,1,0,663.6,205.4,147.2,6.0,7.3,10,14
32,2,0,436.8,725.6,267.2,126.0,7.3,10,14
32,3,1,624.5,400.0,90.0,209.5,-6.0,10,12
32,4,1,197.2,400.0,270.0,130.0,-4.6,10,0
32,5,1,225.6,98.0,330.0,130.0,-5.4,10,12
33,0,0,132.6,588.6,327.2,182.0,7.1,10,15
33,1,0,667.4,211.4,147.2,2.0,7.1,10,15
33,2,0,429.6,725.9,267.2,122.0,7.1,10,15
33,3,1,618.6,400.0,90.0,219.5,-5.9,10,13
33,4,1,201.6,400.0,270.0,130.0,-5.5,10,1
33,5,1,228.3,102.6,330.0,140.0,-5.3,10,13
34,0,0,128.8,582.7,327.2,182.0,7.0,10,0
34,1,0,671.2,217.3,147.2,2.0,7.0,10,0
34,2,0,422.7,726.2,267.2,122.0,7.0,10,0
34,3,1,612.9,400.0,90.0,229.5,-5.8,10,14
34,4,1,207.0,400.0,270.0,132.7,-5.4,10,2
34,5,1,230.9,107.1,330.0,150.0,-5.2,10,14
35,0,0,125.1,577.0,327.2,182.0,7.8,10,1
35,1,0,674.9,223.0,147.2,2.0,7.8,10,1
35,2,0,415.8,726.6,267.2,122.0,7.8,10,1
35,3,1,607.2,400.0,90.0,233.4,-5.7,10,15
35,4,1,212.3,400.0,270.0,133.1,-5.3,10,3
35,5,1,233.4,111.4,330.0,153.5,-5.1,10,15
36,0,0,120.9,570.5,331.4,182.0,7.7,10,2
36,1,0,679.1,229.5,151.4,2.0,7.7,10,2
36,2,0,408.2,727.0,271.4,122.0,7.7,10,2
36,3,1,601.7,400.0,90.0,233.4,-5.5,10,0
36,4,1,217.4,400.0,270.0,133.1,-6.2,10,4
36,5,1,235.9,115.8,330.0,153.5,-5.0,10,0
37,0,0,117.3,563.9,331.4,178.0,7.5,10,3
37,1,0,682.7,236.1,151.4,358.0,7.5,10,3
37,2,0,400.6,726.8,271.4,118.0,7.5,10,3
37,3,1,596.2,400.0,90.0,223.4,-5.4,10,1
37,4,1,223.4,400.0,270.0,134.1,-6.0,10,5
37,5,1,238.3,120.0,330.0,153.6,-4.9,10,1
38,0,0,113.8,557.4,335.9,178.0,7.4,10,4
38,1,0,686.2,242.6,155.9,358.0,7.4,10,4
38,2,0,393.2,726.6,275.9,118.0,7.4,10,4
38,3,1,590.9,400.0,90.0,213.4,-5.3,10,2
38,4,1,229.4,400.0,270.0,134.7,-5.9,10,6
38,5,1,240.7,124.1,330.0,153.6,-4.8,10,2
39,0,0,110.8,550.8,335.9,174.0,7.2,10,5
39,1,0,689.2,249.2,155.9,354.0,7.2,10,5
39,2,0,386.1,725.8,275.9,114.0,7.2,10,5
39,3,1,585.7,400.0,90.0,211.2,-5.2,10,3
39,4,1,235.2,400.0,270.0,134.7,-6.8,10,7
39,5,1,243.1,128.2,330.0,153.6,-5.7,10,3
40,0,0,107.9,544.4,340.6,174.0,7.1,10,6
40,1,0,692.1,255.6,160.6,354.0,7.1,10,6
40,2,0,379.0,725.1,280.6,114.0,7.1,10,6
40,3,1,580.6,400.0,83.8,211.2,-5.1,10,4
40,4,1,241.8,400.0,270.0,135.8,-6.7,10,8
40,5,1,245.8,133.0,330.0,153.7,-5.6,10,4
41,0,0,105.6,537.8,340.6,170.0,6.9,10,7
41,1,0,694.4,262.2,160.6,350.0,6.9,10,7
41,2,0,372.2,723.8,280.6,110.0,6.9,10,7
41,3,1,575.6,400.5,83.8,211.8,-5.0,10,5
41,4,1,248.3,400.0,270.0,136.5,-6.5,10,9
41,5,1,248.6,137.7,330.0,153.7,-5.5,10,5
42,0,0,103.4,531.4,340.6,170.0,7.8,10,8
42,1,0,696.6,268.6,160.6,350.0,7.8,10,8
42,2,0,365.5,722.6,280.6,110.0,7.8,10,8
42,3,1,570.7,401.1,83.8,212.2,-4.9,10,6
42,4,1,254.7,400.0,270.0,136.5,-7.4,10,10
42,5,1,251.2,142.3,330.0,153.7,-6.3,10,6
43,0,0,100.8,524.2,344.8,170.0,7.7,10,9
43,1,0,699.2,275.8,164.8,350.0,7.7,10,9
43,2,0,358.0,721.2,284.8,110.0,7.7,10,9
43,3,1,565.9,401.6,83.8,212.5,-4.8,10,7
43,4,1,262.0,400.0,270.0,137.8,-7.2,10,11
43,5,1,254.4,147.7,330.0,153.8,-6.2,10,7
44,0,0,98.9,516.9,344.8,166.0,7.5,10,10
44,1,0,701.1,283.1,164.8,346.0,7.5,10,10
44,2,0,350.7,719.3,284.8,106.0,7.5,10,10
44,3,1,561.2,402.1,83.8,212.5,-5.7,10,8
44,4,1,269.1,400.0,270.0,138.6,-7.1,10,12
44,5,1,257.4,153.0,330.0,153.8,-6.1,10,8
45,0,0,96.9,509.9,349.3,166.0,7.3,10,11
45,1,0,703.1,290.1,169.3,346.0,7.3,10,11
45,2,0,343.6,717.4,289.3,106.0,7.3,10,11
45,3,1,555.7,402.7,83.8,213.6,-5.6,10,9
45,4,1,276.0,400.0,270.0,139.3,-7.0,10,13
45,5,1,260.4,158.2,330.0,153.8,-7.0,10,9
46,0,0,95.6,502.8,349.3,162.0,7.2,10,12
46,1,0,704.4,297.2,169.3,342.0,7.2,10,12
46,2,0,336.8,715.0,289.3,102.0,7.2,10,12
46,3,1,550.2,403.3,83.8,214.0,-5.5,10,10
46,4,1,282.9,400.0,270.0,140.1,-6.8,10,14
46,5,1,263.8,164.1,330.0,153.9,-6.8,10,10
47,0,0,94.3,495.8,354.0,162.0,7.1,10,13
47,1,0,705.7,304.2,174.0,342.0,7.1,10,13
47,2,0,330.2,712.7,294.0,102.0,7.1,10,13
47,3,1,544.8,403.9,83.8,214.4,-5.4,10,11
47,4,1,289.5,400.0,270.0,150.1,-6.7,10,15
47,5,1,267.2,169.9,330.0,163.9,-6.7,10,11
48,0,0,93.6,489.0,354.0,158.0,6.9,10,14
48,1,0,706.4,311.0,174.0,338.0,6.9,10,14
48,2,0,323.8,709.8,294.0,98.0,6.9,10,14
48,3,1,539.6,404.4,83.8,214.4,-6.3,10,12
48,4,1,296.1,400.0,270.0,160.1,-6.6,10,15
48,5,1,270.4,175.6,330.0,163.9,-7.6,10,12
49,0,0,92.9,482.2,354.0,158.0,7.8,10,15
49,1,0,707.1,317.8,174.0,338.0,7.8,10,15
49,2,0,317.6,707.1,294.0,98.0,7.8,10,15
49,3,1,533.5,405.1,83.8,224.4,-6.1,10,13
49,4,1,302.5,400.0,270.0,170.1,-6.4,10,15
49,5,1,274.1,182.0,330.0,173.9,-7.4,10,13
50,0,0,92.1,474.6,354.0,158.0,7.6,10,0
50,1,0,707.9,325.4,174.0,338.0,7.6,10,0
50,2,0,310.7,704.0,294.0,98.0,7.6,10,0
50,3,1,527.5,405.7,83.8,234.4,-6.0,10,14
50,4,1,308.8,400.0,270.0,180.1,-6.3,10,15
50,5,1,277.8,188.3,330.0,183.9,-7.3,10,14
51,0,0,91.3,467.2,358.4,158.0,7.5,10,1
51,1,0,708.7,332.8,178.4,338.0,7.5,10,1
51,2,0,303.9,700.9,298.4,98.0,7.5,10,1
51,3,1,521.6,406.4,83.8,244.1,-5.9,10,15
51,4,1,315.0,400.0,270.0,190.1,-6.2,10,15
51,5,1,281.3,194.5,330.0,193.9,-7.1,10,15
52,0,0,91.1,459.9,358.4,154.0,7.3,10,2
52,1,0,708.9,340.1,178.4,334.0,7.3,10,2
52,2,0,297.4,697.4,298.4,94.0,7.3,10,2
52,3,1,515.9,407.0,83.8,244.1,-5.8,10,0
52,4,1,321.0,400.0,270.0,200.1,-6.0,10,15
52,5,1,284.8,200.5,330.0,203.9,-7.0,10,15
53,0,0,90.9,452.7,3.1,154.0,7.2,10,3
53,1,0,709.1,347.3,183.1,334.0,7.2,10,3
53,2,0,291.1,694.0,303.1,94.0,7.2,10,3
53,3,1,510.2,407.6,83.8,234.1,-5.7,10,1
53,4,1,326.9,400.0,270.0,210.1,-5.9,10,15
53,5,1,288.2,206.4,330.0,203.9,-6.8,10,0
54,0,0,91.3,445.7,3.1,150.0,7.0,10,4
54,1,0,708.7,354.3,183.1,330.0,7.0,10,4
54,2,0,285.2,690.2,303.1,90.0,7.0,10,4
54,3,1,504.7,408.2,83.8,224.1,-5.6,10,2
54,4,1,332.7,400.0,270.0,217.3,-5.8,10,15
54,5,1,291.6,212.2,330.0,203.9,-7.7,10,1
55,0,0,91.7,438.8,7.9,150.0,6.9,10,5
55,1,0,708.3,361.2,187.9,330.0,6.9,10,5
55,2,0,279.4,686.4,307.9,90.0,6.9,10,5
55,3,1,499.3,408.8,83.8,217.1,-5.4,10,3
55,4,1,338.4,400.0,270.0,217.3,-5.7,10,0
55,5,1,295.4,218.8,330.0,208.1,-7.5,10,2
56,0,0,92.6,432.1,7.9,150.0,7.8,10,6
56,1,0,707.4,367.9,187.9,330.0,7.8,10,6
56,2,0,274.1,682.3,307.9,90.0,7.8,10,6
56,3,1,494.0,409.4,83.8,217.1,-6.3,10,4
56,4,1,344.0,400.0,270.0,221.3,-5.6,10,1
56,5,1,299.1,225.2,330.0,209.7,-7.4,10,3
57,0,0,93.6,424.6,7.9,146.0,7.6,10,7
57,1,0,706.4,375.4,187.9,326.0,7.6,10,7
57,2,0,268.1,677.6,307.9,86.0,7.6,10,7
57,3,1,487.8,410.0,83.8,218.9,-6.2,10,5
57,4,1,349.5,400.0,270.0,221.3,-6.5,10,2
57,5,1,302.7,231.4,334.6,209.7,-7.2,10,4
58,0,0,94.6,417.2,12.3,146.0,7.4,10,8
58,1,0,705.4,382.8,192.3,326.0,7.4,10,8
58,2,0,262.2,673.1,312.3,86.0,7.4,10,8
58,3,1,481.8,410.7,83.8,219.4,-6.1,10,6
58,4,1,355.8,400.0,270.0,226.0,-6.3,10,3
58,5,1,305.7,237.8,334.6,212.8,-7.1,10,5
59,0,0,96.2,410.1,12.3,142.0,7.3,10,9
59,1,0,703.8,389.9,192.3,322.0,7.3,10,9
59,2,0,256.8,668.1,312.3,82.0,7.3,10,9
59,3,1,475.8,411.3,83.8,219.9,-6.0,10,7
59,4,1,362.0,400.0,270.0,228.8,-6.2,10,4
59,5,1,308.7,244.1,334.6,213.5,-7.0,10,6
60,0,0,97.7,403.1,16.9,142.0,7.2,10,10
60,1,0,702.3,396.9,196.9,322.0,7.2,10,10
60,2,0,251.6,663.3,316.9,82.0,7.2,10,10
60,3,1,470.0,411.9,83.8,219.9,-6.8,10,8
60,4,1,368.1,400.0,270.0,228.8,-7.1,10,5
60,5,1,311.6,250.3,334.6,213.5,-7.8,10,7
61,0,0,99.8,396.4,16.9,138.0,7.0,10,11
61,1,0,700.2,403.6,196.9,318.0,7.0,10,11
61,2,0,246.8,658.2,316.9,78.0,7.0,10,11
61,3,1,463.3,412.7,83.8,221.0,-6.7,10,9
61,4,1,375.0,400.0,270.0,232.8,-6.9,10,6
61,5,1,314.9,257.2,334.6,216.4,-7.7,10,8
62,0,0,101.8,389.8,21.8,138.0,6.9,10,12
62,1,0,698.2,410.2,201.8,318.0,6.9,10,12
62,2,0,242.1,653.2,321.8,78.0,6.9,10,12
62,3,1,456.8,413.4,83.8,221.4,-6.6,10,10
62,4,1,381.8,400.0,270.0,235.1,-6.8,10,7
62,5,1,318.2,264.0,334.6,218.0,-7.5,10,9
63,0,0,104.3,383.6,21.8,138.0,7.7,10,13
63,1,0,695.7,416.4,201.8,318.0,7.7,10,13
63,2,0,237.9,647.9,321.8,78.0,7.7,9,13
63,3,1,450.4,414.1,83.8,221.8,-6.4,10,11
63,4,1,388.5,400.0,270.0,235.1,-7.7,10,8
63,5,1,321.3,270.6,339.0,218.0,-7.4,10,10
64,0,0,107.1,376.6,21.8,134.0,7.6,10,14
64,1,0,692.9,423.4,201.8,314.0,7.6,10,14
64,2,0,233.2,642.0,321.8,74.0,7.6,9,14
64,3,1,444.1,414.7,83.8,221.8,-7.3,10,12
64,4,1,396.0,400.0,270.0,239.3,-7.5,10,9
64,5,1,323.9,277.4,339.0,221.1,-7.2,10,11
65,0,0,109.8,369.7,26.2,134.0,7.4,10,15
65,1,0,690.2,430.3,206.2,314.0,7.4,10,15
65,2,0,228.6,636.1,326.2,74.0,7.4,9,15
65,3,1,437.0,415.5,83.8,231.8,-7.2,10,13
65,4,1,403.4,400.0,270.0,240.5,-7.4,10,10
65,5,1,326.4,284.0,339.0,222.6,-7.1,10,12
66,0,0,113.0,363.1,26.2,134.0,7.3,10,0
66,1,0,687.0,436.9,206.2,314.0,7.3,10,0
66,2,0,224.6,630.1,326.2,74.0,7.3,9,0
66,3,1,430.0,416.3,83.8,241.8,-7.0,10,14
66,4,1,410.6,400.0,274.6,240.5,-7.2,10,11
66,5,1,328.9,290.5,339.0,223.2,-6.9,10,13
67,0,0,116.2,356.7,26.2,130.0,7.1,10,1
67,1,0,683.8,443.3,206.2,310.0,7.1,10,1
67,2,0,220.6,624.1,326.2,70.0,7.1,9,1
67,3,1,423.2,417.0,83.8,251.8,-6.9,10,15
67,4,1,417.6,400.6,274.6,244.0,-7.1,10,12
67,5,1,331.3,296.8,339.0,224.6,-6.8,10,14
68,0,0,119.3,350.5,31.0,130.0,7.0,10,2
68,1,0,680.7,449.5,211.0,310.0,7.0,10,2
68,2,0,216.7,618.3,331.0,70.0,7.0,9,2
68,3,1,416.5,417.7,83.8,257.2,-6.7,10,15
68,4,1,424.5,401.1,274.6,245.6,-6.9,10,13
68,5,1,333.7,303.0,339.0,226.0,-6.7,10,15
69,0,0,122.8,344.6,31.0,130.0,7.8,10,3
69,1,0,677.2,455.4,211.0,310.0,7.8,10,3
69,2,0,213.4,612.4,331.0,70.0,7.8,9,3
69,3,1,409.9,418.4,83.8,257.2,-6.6,10,0
69,4,1,431.3,401.7,274.6,247.1,-6.8,10,14
69,5,1,336.1,309.1,339.0,226.0,-6.5,10,0
70,0,0,126.8,338.0,31.0,126.0,7.7,10,4
70,1,0,673.2,462.0,211.0,306.0,7.7,10,4
70,2,0,209.7,605.6,331.0,66.0,7.7,8,4
70,3,1,403.5,419.1,83.8,247.2,-6.5,10,1
70,4,1,437.9,402.2,274.6,248.4,-6.7,10,15
70,5,1,338.3,315.1,339.0,228.8,-6.4,10,1
71,0,0,130.6,331.5,35.3,126.0,7.5,10,5
71,1,0,669.4,468.5,215.3,306.0,7.5,10,5
71,2,0,206.0,599.0,335.3,66.0,7.5,8,5
71,3,1,397.1,419.8,83.8,237.2,-6.3,10,2
71,4,1,444.4,402.7,274.6,249.7,-6.5,10,15
71,5,1,340.6,320.9,339.0,230.1,-6.3,10,2
72,0,0,134.9,325.5,35.3,122.0,7.4,10,6
72,1,0,665.1,474.5,215.3,302.0,7.4,10,6
72,2,0,203.0,592.3,335.3,62.0,7.4,8,6
72,3,1,391.0,420.5,83.8,237.2,-7.2,10,3
72,4,1,450.8,403.2,274.6,250.9,-6.4,10,15
72,5,1,342.8,326.6,339.0,230.1,-7.1,10,3
73,0,0,139.1,319.6,39.9,122.0,7.2,10,7
73,1,0,660.9,480.4,219.9,302.0,7.2,10,7
73,2,0,199.9,585.7,339.9,62.0,7.2,8,7
73,3,1,383.9,421.2,83.8,227.2,-7.1,10,4
73,4,1,457.0,403.7,274.6,260.9,-6.3,10,15
73,5,1,345.3,333.2,339.0,237.3,-7.0,10,4
74,0,0,143.7,314.2,39.9,118.0,7.1,10,8
74,1,0,656.3,485.8,219.9,298.0,7.1,10,8
74,2,0,197.5,579.1,339.9,58.0,7.1,7,8
74,3,1,377.0,422.0,83.8,228.2,-6.9,10,5
74,4,1,463.2,404.2,274.6,265.7,-6.1,10,15
74,5,1,347.7,339.6,339.0,239.9,-6.9,10,5
75,0,0,148.1,308.8,44.7,118.0,7.0,10,9
75,1,0,651.9,491.2,224.7,298.0,7.0,10,9
75,2,0,195.1,572.6,344.7,58.0,7.0,7,9
75,3,1,370.3,422.7,83.8,228.8,-6.8,10,6
75,4,1,469.1,404.7,274.6,267.5,-6.0,10,15
75,5,1,350.1,345.8,339.0,239.9,-7.7,10,6
76,0,0,152.9,304.0,44.7,118.0,7.8,10,10
76,1,0,647.1,496.0,224.7,298.0,7.8,10,10
76,2,0,193.3,566.0,344.7,58.0,7.8,7,10
76,3,1,363.6,423.4,83.8,228.8,-7.7,10,7
76,4,1,475.0,405.2,274.6,269.1,-5.9,10,15
76,5,1,352.8,352.9,339.0,245.1,-7.6,10,7
77,0,0,158.3,298.5,44.7,114.0,7.7,10,11
